Elapsed,Temp,Latency,Mode
767.66,55.56,4076.69,2
768.67,55.69,4076.69,2
769.68,55.47,3191.09,2
770.69,55.66,3275.21,2
771.7,55.66,3275.21,2
772.72,55.84,3275.21,2
773.73,55.5,3242.28,2
774.74,55.84,3242.28,2
775.75,55.69,3242.28,2
776.76,55.62,3297.69,2
777.77,55.59,3297.69,2
778.78,55.44,3297.69,2
779.79,55.66,3297.69,2
780.8,55.28,3636.32,2
781.81,55.38,3636.32,2
782.82,55.31,3636.32,2
783.83,55.34,3451.16,2
784.84,55.16,3451.16,2
785.85,55.25,3451.16,2
786.86,54.56,3367.68,2
787.87,55.34,3367.68,2
788.88,55.34,3367.68,2
789.89,55.19,3367.68,2
790.9,54.91,3393.43,2
791.91,55.34,3393.43,2
792.92,55.34,3393.43,2
793.93,54.88,3583.8,2
794.94,55.19,3583.8,2
795.95,55.34,3583.8,2
796.96,55.12,3583.8,2
797.97,55.25,3360.2,2
798.98,54.94,3360.2,2
799.99,55.44,3360.2,2
801.0,54.81,3382.34,2
802.01,55.06,3382.34,2
803.02,55.38,3382.34,2
804.03,54.56,3419.48,2
805.05,55.22,3419.48,2
806.06,55.0,3419.48,2
807.07,55.03,3419.48,2
808.08,55.03,3509.48,2
809.09,55.34,3509.48,2
810.1,55.12,3509.48,2
811.11,54.31,3374.16,2
812.12,55.03,3374.16,2
813.13,54.84,3374.16,2
814.15,54.72,3355.07,2
815.16,54.91,3355.07,2
816.17,55.28,3355.07,2
817.18,54.81,3355.07,2
818.19,55.06,3343.87,2
819.2,54.72,3343.87,2
820.21,54.81,3343.87,2
821.22,54.34,3695.41,2
822.23,54.78,3695.41,2
823.24,55.09,3695.41,2
824.25,54.84,3695.41,2
825.26,55.0,3441.39,2
826.27,54.75,3441.39,2
827.28,55.16,3441.39,2
828.29,54.03,3396.67,2
829.31,54.81,3396.67,2
830.32,55.0,3396.67,2
831.33,54.38,3331.92,2
832.35,54.78,3331.92,2
833.36,54.84,3331.92,2
834.37,54.84,3331.92,2
835.38,54.59,3325.72,2
836.39,54.78,3325.72,2
837.4,54.84,3325.72,2
838.41,54.03,3436.7,2
839.43,54.69,3436.7,2
840.44,54.81,3436.7,2
841.45,54.41,3365.1,2
842.46,54.66,3365.1,2
843.47,54.84,3365.1,2
844.48,54.69,3365.1,2
845.49,54.56,3385.11,2
846.51,54.56,3385.11,2
847.53,54.72,3385.11,2
848.54,53.94,3395.36,2
849.55,54.53,3395.36,2
850.56,54.41,3395.36,2
851.57,54.59,3395.36,2
852.58,54.38,3804.89,2
853.59,54.53,3804.89,2
854.6,54.75,3804.89,2
855.61,53.94,3410.02,2
856.62,54.59,3410.02,2
857.63,54.75,3410.02,2
858.64,54.53,3336.47,2
859.65,54.88,3354.9,2
860.66,54.69,3354.9,2
861.67,54.94,3354.9,2
862.68,54.44,3331.92,2
863.69,54.88,3331.92,2
864.7,54.75,3331.92,2
865.72,54.0,3539.09,2
866.73,54.5,3539.09,2
867.74,54.44,3539.09,2
868.75,54.69,3539.09,2
869.76,54.09,3738.16,2
870.77,54.78,3738.16,2
871.78,54.66,3738.16,2
872.79,54.38,3295.93,2
873.8,54.34,3295.93,2
874.81,54.38,3295.93,2
875.82,54.72,3295.93,2
876.83,54.28,3341.78,2
877.84,54.75,3341.78,2
878.85,54.44,3341.78,2
879.86,54.09,3424.84,2
880.87,54.28,3424.84,2
881.9,54.72,3424.84,2
882.91,53.91,3414.51,2
883.92,54.69,3414.51,2
884.93,54.56,3414.51,2
885.94,54.34,3414.51,2
886.95,54.59,3344.98,2
887.96,54.38,3344.98,2
888.97,54.59,3344.98,2
889.98,53.91,3363.34,2
890.99,54.78,3363.34,2
892.0,54.34,3363.34,2
893.02,53.66,3330.07,2
894.03,54.34,3330.07,2
895.04,54.34,3330.07,2
896.05,54.34,3330.07,2
897.05,54.31,3431.52,2
898.06,54.28,3431.52,2
899.08,54.47,3431.52,2
900.09,53.91,3404.74,2
901.1,54.28,3404.74,2
902.11,54.09,3404.74,2
903.12,54.22,3404.74,2
904.13,53.91,4226.33,2
905.14,54.5,4226.33,2
906.15,54.25,4226.33,2
907.16,54.53,4226.33,2
908.17,53.69,3894.62,2
909.18,54.31,3894.62,2
910.19,54.34,3894.62,2
911.2,53.97,3363.3,2
912.21,54.19,3363.3,2
913.22,54.28,3363.3,2
914.23,54.31,3363.3,2
915.24,54.12,3350.91,2
916.25,54.28,3350.91,2
